Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338846382564,26326,15098,4274
1730338846415888,26991,15097,4273
1730338846424593,27469,15092,4276
1730338846449328,27546,15090,4277
1730338846482570,27248,15087,4275
1730338846488028,26755,15085,4276
1730338846515905,26188,15083,4274
1730338846549351,25703,15081,4275
1730338846557516,25327,15078,4275
1730338846582990,25101,15075,4276
1730338846616093,24987,15072,4274
1730338846624713,25000,15070,4275
1730338846649398,25115,15066,4276
1730338846682470,25311,15063,4276
1730338846687453,25481,15062,4276
1730338846715874,25641,15058,4276
1730338846749094,25715,15057,4276
1730338846756681,25727,15054,4275
1730338846782726,25670,15051,4276
1730338846816042,25579,15048,4275
1730338846826576,25467,15045,4275
1730338846849419,25357,15043,4275
1730338846882793,25270,15040,4275
1730338846891218,25212,15038,4276
1730338846916193,25181,15035,4275
1730338846949101,25171,15032,4276
1730338846956625,25145,15029,4277
1730338846982505,25151,15026,4275
1730338846989696,25257,15024,4278
1730338847015919,25596,15021,4276
1730338847049427,26232,15019,4276
1730338847056929,27001,15015,4274
1730338847082882,27587,15012,4276
1730338847115698,27750,15009,4276
1730338847123248,27517,15007,4276
1730338847149481,27036,15003,4275
1730338847182415,26443,15001,4274
1730338847190917,25895,14997,4276
1730338847216065,25458,14994,4275
1730338847249460,25185,14991,4274
1730338847260897,25040,14987,4275
1730338847282355,25028,14984,4276
1730338847315618,25104,14981,4275
1730338847319971,25256,14979,4277
1730338847349386,25436,14974,4275
1730338847382618,25587,14970,4274
1730338847389418,25696,14968,4275
1730338847415664,25729,14965,4276
1730338847448903,25690,14961,4277
1730338847456330,25596,14958,4275
1730338847482556,25476,14955,4277
1730338847515590,25365,14952,4276
1730338847526015,25283,14949,4274
1730338847549148,25239,14945,4275
1730338847582288,25206,14944,4277
1730338847589674,25189,14940,4275
1730338847615649,25183,14937,4275
1730338847649015,25187,14934,4277
1730338847655920,25302,14931,4275
1730338847682407,25666,14929,4274
1730338847687269,26318,14926,4275
1730338847715748,27080,14922,4275
1730338847748781,27598,14919,4273
1730338847752068,27696,14916,4275
1730338847782183,27422,14914,4274
1730338847815441,26906,14909,4275
1730338847819515,26332,14908,4276
1730338847848723,25814,14905,4275
1730338847882296,25424,14900,4276
1730338847886761,25163,14899,4272
1730338847915377,25057,14895,4274
1730338847948716,25071,14891,4277
1730338847957784,25159,14888,4276
1730338847982027,25318,14885,4275
1730338848015231,25494,14882,4277
1730338848019372,25628,14879,4277
1730338848048631,25719,14877,4277
1730338848081895,25739,14872,4276
1730338848087309,25693,14868,4276
1730338848115324,25592,14866,4277
1730338848148645,25491,14863,4277
1730338848152988,25381,14861,4275
1730338848181885,25301,14858,4276
1730338848215385,25256,14854,4275
1730338848219785,25236,14850,4276
1730338848248651,25221,14848,4276
1730338848282076,25237,14846,4276
1730338848286170,25271,14842,4276
1730338848315430,25494,14838,4275
1730338848348570,25971,14836,4275
1730338848352272,26703,14833,4276
1730338848381889,27398,14832,4277
1730338848386003,27764,14826,4274
1730338848415370,27678,14823,4277
1730338848448622,27248,14821,4275
1730338848454099,26688,14817,4275
1730338848482203,26121,14813,4276
1730338848515433,25669,14810,4276
1730338848518007,25345,14807,4276
1730338848548463,25173,14803,4276
1730338848581782,25084,14800,4275
1730338848585491,25109,14796,4275
1730338848615267,25208,14792,4276
1730338848648405,25362,14789,4276
1730338848651046,25525,14785,4276
1730338848681822,25642,14783,4277
1730338848715072,25708,14779,4276
1730338848718515,25692,14776,4273
1730338848748652,25621,14772,4274
1730338848781842,25530,14769,4274
1730338848785913,25432,14765,4276
1730338848815142,25351,14762,4276
1730338848848601,25296,14759,4277
1730338848855626,25257,14755,4276
1730338848881762,25251,14752,4277
1730338848915113,25266,14750,4278
1730338848917782,25261,14745,4276
1730338848948340,25305,14743,4276
