Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338857319015,26682,32474,4514
1730338857340829,26609,32474,4495
1730338857362964,26585,32475,4496
1730338857384532,26578,32474,4514
1730338857406399,26634,32474,4494
1730338857428287,26615,32474,4514
1730338857450123,26586,32475,4496
1730338857471966,26600,32473,4496
1730338857493994,26660,32473,4497
1730338857515726,26769,32474,4497
1730338857537464,26831,32474,4495
1730338857559403,26885,32473,4496
1730338857581269,26918,32472,4496
1730338857603107,26819,32473,4515
1730338857625019,26709,32473,4513
1730338857646788,26650,32472,4496
1730338857668595,26600,32473,4513
1730338857690430,26566,32474,4478
1730338857712293,26497,32476,4477
1730338857734100,26435,32473,4513
1730338857756126,26381,32473,4497
1730338857778086,26428,32473,4496
1730338857799679,26514,32474,4497
1730338857821480,26582,32474,4477
1730338857843483,26638,32472,4478
1730338857865341,26663,32472,4479
1730338857887168,26620,32471,4515
1730338857908935,26594,32473,4514
1730338857930779,26622,32474,4496
1730338857952666,26681,32475,4496
1730338857974550,26711,32472,4497
1730338857996572,26771,32473,4514
1730338858018188,26900,32473,4514
1730338858040050,26930,32471,4514
1730338858061889,26943,32473,4495
1730338858083695,26828,32472,4514
1730338858105602,26739,32474,4496
1730338858127637,26642,32473,4513
1730338858149224,26650,32472,4479
1730338858171083,26594,32472,4496
1730338858193141,26565,32474,4496
1730338858214875,26458,32472,4479
1730338858236731,26399,32473,4514
1730338858258557,26397,32474,4514
1730338858280372,26404,32475,4515
1730338858302257,26474,32473,4495
1730338858324076,26520,32474,4514
1730338858345977,26544,32474,4495
1730338858367760,26621,32474,4477
1730338858389713,26704,32473,4494
1730338858411516,26895,32473,4496
1730338858433412,27002,32473,4496
1730338858455283,27035,32472,4496
1730338858477078,26947,32475,4495
1730338858499004,26820,32473,4494
1730338858520683,26722,32474,4479
1730338858551139,26633,32473,4495
1730338858564385,26605,32473,4495
1730338858586419,26565,32472,4514
1730338858608242,26578,32472,4479
1730338858630358,26542,32473,4479
1730338858651943,26460,32473,4496
1730338858673742,26378,32475,4514
1730338858695667,26346,32473,4515
1730338858717402,26347,32473,4496
1730338858739283,26382,32473,4479
1730338858761197,26491,32471,4514
1730338858783066,26639,32473,4514
1730338858804794,26660,32473,4513
1730338858826769,26724,32472,4496
1730338858848552,26732,32473,4478
1730338858870298,26832,32474,4516
1730338858892288,26909,32471,4514
1730338858914034,26933,32474,4495
1730338858935942,26980,32474,4496
1730338858957867,26868,32476,4496
1730338858979710,26752,32471,4496
1730338859001555,26625,32474,4514
1730338859023328,26482,32472,4480
1730338859045091,26558,32473,4479
1730338859067109,26554,32472,4479
1730338859088911,26517,32473,4497
1730338859110761,26501,32474,4514
1730338859132647,26413,32471,4496
1730338859154418,26386,32472,4514
1730338859176545,26438,32473,4495
1730338859198196,26468,32473,4514
1730338859219956,26527,32471,4496
1730338859241815,26568,32473,4513
1730338859263704,26697,32472,4477
1730338859285563,26723,32473,4513
1730338859307315,26731,32472,4496
1730338859329306,26694,32474,4479
1730338859351096,26706,32470,4496
1730338859372963,26731,32473,4496
1730338859394956,26639,32473,4478
1730338859416610,26457,32474,4496
1730338859438472,26346,32472,4496
1730338859460290,26339,32474,4514
1730338859482353,26427,32474,4514
1730338859504050,26471,32474,4496
1730338859525854,26583,32471,4514
1730338859547648,26638,32473,4478
1730338859569615,26635,32473,4480
1730338859591393,26617,32474,4495
1730338859613271,26615,32470,4478
1730338859635131,26604,32474,4496
1730338859657026,26646,32474,4515
1730338859678781,26664,32473,4496
1730338859700752,26713,32470,4514
1730338859722631,26703,32474,4497
1730338859744633,26768,32470,4495
1730338859766231,26827,32473,4479
1730338859788108,26866,32473,4515
1730338859809995,26796,32473,4496
1730338859831812,26745,32473,4515
1730338859853681,26748,32474,4515
1730338859875442,26652,32474,4497
1730338859897270,26543,32473,4497
1730338859919186,26528,32472,4497
1730338859941070,26411,32473,4496
1730338859962817,26357,32472,4496
1730338859984722,26283,32471,4496
1730338860006486,26382,32472,4513
1730338860028391,26416,32473,4496
1730338860050209,26556,32472,4496
1730338860072101,26645,32472,4495
1730338860094079,26720,32474,4513
1730338860115737,26788,32472,4479
1730338860137514,26897,32474,4496
1730338860159530,26974,32472,4497
1730338860181345,26919,32473,4496
1730338860203191,26864,32473,4515
1730338860225012,26757,32473,4496
1730338860246860,26639,32474,4478
1730338860268619,26609,32474,4478
1730338860290624,26620,32474,4496
1730338860312434,26600,32472,4514
1730338860334551,26605,32474,4496
1730338860356187,26511,32474,4514
1730338860377945,26439,32475,4495
1730338860400125,26441,32474,4512
1730338860421787,26439,32473,4514
1730338860443526,26449,32473,4514
1730338860465470,26482,32472,4480
1730338860487306,26526,32473,4514
1730338860509092,26605,32473,4495
1730338860530975,26777,32474,4513
1730338860552785,26872,32474,4495
1730338860574643,26859,32471,4478
1730338860596490,26892,32472,4514
1730338860618272,26808,32475,4495
1730338860640180,26692,32473,4514
1730338860662074,26646,32472,4478
1730338860683853,26566,32473,4496
1730338860705762,26543,32474,4495
1730338860727789,26521,32477,4479
1730338860749452,26434,32473,4495
1730338860771289,26375,32473,4479
1730338860793258,26311,32473,4494
1730338860815001,26329,32472,4496
1730338860836919,26403,32473,4497
1730338860858735,26486,32472,4497
1730338860880496,26562,32474,4514
1730338860902490,26670,32473,4478
1730338860924273,26719,32472,4496
1730338860946054,26824,32473,4497
1730338860967944,26970,32472,4478
1730338860989901,26962,32471,4496
1730338861011690,26985,32472,4496
1730338861033592,26846,32473,4496
1730338861055373,26768,32473,4496
1730338861077267,26675,32470,4476
1730338861099060,26570,32473,4496
1730338861120980,26531,32474,4478
1730338861142855,26495,32472,4496
1730338861164693,26501,32472,4496
1730338861186524,26408,32472,4479
1730338861208423,26401,32472,4494
1730338861230262,26352,32469,4495
1730338861252019,26350,32471,4514
1730338861273884,26432,32473,4514
1730338861295802,26533,32472,4496
1730338861317565,26598,32473,4496
1730338861339489,26714,32471,4497
1730338861361386,26831,32472,4496
1730338861383106,26914,32472,4477
1730338861405002,26967,32474,4479
1730338861427054,26960,32472,4495
1730338861448703,26837,32472,4496
1730338861470646,26765,32472,4496
1730338861492565,26673,32473,4478
1730338861514243,26591,32474,4496
1730338861536207,26520,32474,4495
1730338861558078,26477,32474,4479
1730338861579839,26470,32476,4496
1730338861602013,26451,32475,4480
1730338861623687,26420,32474,4496
1730338861645414,26396,32473,4496
1730338861667380,26464,32473,4478
1730338861689182,26550,32473,4513
1730338861710886,26623,32475,4496
1730338861732861,26714,32475,4495
1730338861754784,26765,32475,4496
1730338861776562,26834,32472,4497
1730338861798411,26891,32475,4513
1730338861820245,26903,32474,4497
1730338861842131,26875,32474,4496
1730338861863981,26754,32472,4497
1730338861885867,26604,32473,4496
1730338861907610,26547,32474,4496
1730338861929598,26474,32474,4479
1730338861951368,26447,32473,4496
1730338861973203,26451,32474,4479
1730338861995049,26346,32473,4496
1730338862016864,26377,32474,4497
1730338862038942,26453,32475,4513
1730338862060813,26529,32474,4480
1730338862082425,26622,32474,4514
1730338862104440,26678,32473,4513
1730338862126238,26778,32473,4497
1730338862148005,26808,32472,4514
1730338862169880,26831,32475,4514
1730338862191861,26795,32474,4495
1730338862213584,26819,32472,4513
1730338862235551,26788,32473,4499
1730338862257438,26772,32475,4497
1730338862279106,26740,32474,4479
1730338862301091,26689,32476,4496
1730338862322964,26677,32474,4496
1730338862344832,26608,32473,4497
1730338862366625,26516,32473,4478
1730338862388549,26429,32473,4497
1730338862410602,26363,32474,4513
1730338862432201,26375,32473,4496
1730338862454046,26440,32474,4514
1730338862476092,26558,32474,4514
1730338862497776,26617,32475,4514
1730338862519557,26711,32469,4497
1730338862541430,26795,32473,4514
1730338862563556,26858,32473,4497
1730338862585167,26867,32474,4496
1730338862606987,26880,32473,4496
1730338862628903,26782,32475,4513
1730338862650663,26728,32471,4515
1730338862672601,26675,32475,4514
1730338862694476,26658,32471,4479
1730338862716215,26644,32474,4514
1730338862738146,26594,32474,4514
1730338862760352,26528,32475,4495
1730338862781773,26367,32474,4497
1730338862803752,26298,32475,4515
1730338862825689,26348,32478,4495
1730338862847396,26401,32474,4495
1730338862869296,26471,32474,4514
1730338862891101,26587,32473,4514
1730338862912982,26620,32475,4514
1730338862934932,26763,32473,4481
1730338862956702,26864,32474,4495
1730338862978490,26983,32474,4479
BEGIN baseline FOR 180 SECONDS,,,
1730338863000443,26927,32476,4514
1730338863022209,26865,32473,4513
1730338863044138,26809,32475,4478
1730338863066215,26759,32475,4514
1730338863087795,26646,32474,4514
1730338863109765,26587,32475,4514
1730338863131770,26507,32474,4479
1730338863153321,26522,32472,4497
1730338863175268,26511,32473,4478
1730338863197117,26514,32471,4513
1730338863218899,26467,32473,4514
1730338863240766,26372,32474,4496
1730338863262608,26336,32475,4496
1730338863284409,26351,32474,4495
1730338863306355,26459,32475,4496
1730338863328126,26645,32473,4497
1730338863349994,26738,32476,4496
1730338863372251,26817,32474,4479
1730338863393859,26863,32474,4496
1730338863415571,26813,32474,4514
1730338863437491,26826,32474,4497
1730338863459366,26782,32474,4480
1730338863481175,26748,32475,4496
1730338863503111,26713,32475,4496
1730338863524953,26613,32475,4515
1730338863546623,26549,32474,4516
1730338863568770,26518,32472,4496
1730338863590429,26347,32474,4514
1730338863612262,26333,32474,4514
1730338863634185,26328,32475,4513
1730338863655924,26409,32474,4514
1730338863677845,26492,32474,4514
1730338863699730,26585,32475,4514
1730338863721517,26632,32472,4496
1730338863743434,26692,32474,4479
1730338863765242,26710,32475,4496
1730338863787090,26756,32474,4513
1730338863808859,26720,32474,4497
1730338863831032,26690,32474,4479
1730338863852599,26610,32472,4479
1730338863874592,26544,32473,4479
1730338863896425,26460,32475,4497
1730338863918101,26480,32475,4514
1730338863940129,26546,32474,4513
1730338863961882,26537,32474,4496
1730338863983750,26599,32474,4496
1730338864005564,26602,32474,4515
1730338864027516,26574,32472,4514
1730338864049293,26629,32474,4478
1730338864071090,26635,32475,4496
1730338864093005,26642,32474,4496
1730338864114803,26610,32474,4496
1730338864136618,26585,32476,4495
1730338864158636,26712,32474,4496
1730338864180348,26815,32473,4496
1730338864202282,26960,32473,4496
1730338864224189,27028,32474,4517
1730338864245813,26936,32472,4478
1730338864267670,26801,32476,4514
1730338864289559,26681,32475,4479
1730338864311420,26632,32476,4496
1730338864333305,26595,32476,4498
1730338864355146,26641,32475,4496
1730338864377214,26564,32475,4479
1730338864399086,26522,32475,4496
1730338864420748,26458,32475,4479
1730338864442704,26390,32473,4495
1730338864464514,26396,32477,4515
1730338864486221,26414,32472,4514
1730338864508183,26452,32475,4495
1730338864530001,26560,32476,4496
1730338864551777,26659,32476,4496
1730338864573805,26722,32476,4495
1730338864595520,26787,32476,4496
1730338864617405,26786,32474,4496
1730338864639292,26816,32472,4496
1730338864661036,26785,32474,4514
1730338864682942,26821,32474,4496
1730338864704915,26780,32474,4496
