Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 25479 31536 4350
21 25407 31542 4456
23 25274 31562 4455
22 25339 31572 4461
22 25334 31585 4432
22 25382 31592 4425
21 25457 31597 4444
23 25493 31602 4438
21 25540 31600 4433
23 25572 31605 4418
21 25641 31606 4442
23 25662 31602 4463
21 25634 31601 4479
22 25753 31595 4455
22 26161 31592 4428
22 27038 31587 4425
22 28233 31584 4426
22 29358 31581 4444
21 30023 31574 4447
23 29934 31569 4426
21 29135 31566 4408
23 27946 31564 4447
21 26676 31556 4451
22 25676 31556 4444
22 25069 31557 4463
22 24785 31558 4447
22 24809 31564 4427
22 25156 31576 4461
21 25693 31587 4461
23 26213 31600 4445
21 26659 31613 4442
23 27026 31632 4432
21 26967 31643 4437
22 26781 31660 4445
22 26439 31675 4456
22 26064 31687 4452
22 25763 31696 4443
22 25503 31704 4414
21 25356 31715 4442
23 25265 31713 4427
22 25261 31716 4427
22 25294 31716 4445
22 25378 31713 4410
21 25398 31708 4448
23 25462 31706 4449
21 25528 31702 4438
23 25533 31705 4447
21 25622 31706 4444
22 25955 31705 4407
22 26696 31710 4449
22 27892 31710 4439
22 29262 31706 4426
22 30435 31708 4437
22 30810 31703 4426
22 30254 31707 4437
21 29002 31708 4454
23 27598 31708 4445
21 26232 31712 4460
23 25275 31714 4462
21 24753 31715 4435
22 24655 31715 4410
22 24835 31715 4446
22 25217 31716 4448
22 25803 31719 4437
22 26334 31722 4444
21 26870 31725 4420
23 27040 31740 4451
21 26987 31754 4465
23 26721 31767 4434
21 26316 31781 4436
22 25867 31793 4445
22 25531 31799 4416
22 25255 31799 4428
22 25156 31801 4463
22 25174 31797 4420
22 25176 31797 4446
22 25230 31787 4438
22 25234 31784 4427
22 25318 31778 4463
22 25438 31772 4461
21 25505 31763 4467
23 25586 31758 4463
21 25612 31748 4425
23 25775 31739 4436
21 26268 31743 4461
22 27432 31752 4426
22 29039 31762 4446
22 30639 31773 4426
22 31409 31778 4431
22 31261 31782 4465
22 30123 31785 4465
22 28441 31780 4447
21 26840 31779 4408
23 25551 31773 4426
21 24763 31771 4436
23 24417 31760 4446
21 24529 31750 4420
22 24942 31741 4437
22 25548 31734 4441
22 26166 31720 4454
22 26783 31712 4462
22 27206 31701 4445
21 27171 31690 4461
23 26906 31679 4449
21 26546 31671 4444
23 26016 31660 4431
21 25603 31650 4428
22 25303 31640 4437
22 25136 31631 4437
22 24997 31624 4426
23 24980 31616 4427
21 25070 31608 4444
22 25128 31603 4439
22 25239 31598 4443
22 25318 31589 4444
22 25382 31585 4426
22 25408 31581 4437
21 25477 31573 4421
23 25539 31568 4419
21 25637 31566 4425
23 25945 31564 4426
21 26890 31562 4447
22 28463 31561 4464
22 30216 31563 4472
22 31478 31566 4444
22 31662 31567 4429
22 30731 31567 4436
21 29108 31573 4408
23 27423 31576 4434
21 25905 31579 4433
23 24828 31581 4432
21 24264 31582 4445
23 24185 31589 4427
21 24547 31589 4461
22 25160 31593 4478
22 25892 31598 4444
22 26615 31599 4461
22 27066 31602 4437
22 27299 31609 4443
21 27157 31612 4479
23 26810 31619 4433
21 26315 31622 4445
23 25844 31632 4425
21 25419 31637 4443
22 25086 31643 4445
22 25035 31648 4456
22 25024 31655 4443
23 25046 31659 4427
21 25122 31666 4446
22 25154 31670 4449
22 25304 31676 4443
22 25369 31680 4447
22 25367 31687 4426
22 25423 31690 4427
21 25545 31695 4424
23 25584 31699 4463
21 26116 31699 4461
23 27221 31704 4465
21 28898 31703 4437
22 30591 31706 4434
22 31509 31709 4437
22 31423 31712 4427
22 30293 31709 4418
22 28628 31710 4437
21 26873 31710 4419
23 25417 31708 4425
21 24475 31706 4448
23 24007 31706 4445
21 24008 31715 4460
22 24425 31720 4455
22 25098 31727 4417
22 25938 31731 4438
22 26688 31731 4445
22 27153 31732 4464
22 27432 31729 4427
22 27232 31732 4426
21 26797 31725 4429
23 26386 31721 4430
