Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 27280 25864 4416
22 27297 25838 4413
22 27325 25814 4413
22 27435 25790 4416
21 27590 25774 4412
23 27748 25759 4413
21 27862 25747 4413
22 27827 25740 4400
21 27721 25729 4402
23 27571 25727 4400
21 27418 25725 4403
22 27305 25717 4401
22 27238 25715 4403
22 27212 25716 4402
21 27237 25721 4399
23 27274 25719 4401
21 27338 25721 4403
22 27387 25721 4405
22 27414 25724 4402
22 27437 25724 4401
21 27435 25731 4405
23 27401 25723 4410
21 27393 25729 4410
22 27358 25729 4415
22 27318 25732 4414
22 27309 25734 4411
21 27302 25736 4413
23 27337 25736 4411
21 27453 25733 4414
22 27631 25738 4412
22 27844 25736 4413
22 27930 25731 4417
21 27924 25721 4412
23 27796 25724 4414
21 27656 25723 4413
22 27485 25717 4410
22 27327 25721 4404
22 27224 25720 4403
21 27182 25721 4400
23 27195 25722 4402
21 27254 25721 4401
22 27328 25720 4406
23 27378 25724 4402
21 27413 25730 4405
22 27429 25730 4403
22 27418 25735 4406
22 27394 25734 4404
21 27366 25739 4405
23 27338 25736 4404
21 27310 25738 4407
22 27294 25740 4402
22 27277 25739 4412
22 27340 25736 4413
21 27456 25736 4415
23 27676 25738 4411
21 27848 25740 4413
22 27925 25740 4413
22 27898 25747 4412
22 27795 25748 4414
21 27635 25751 4412
23 27495 25757 4415
21 27393 25751 4417
22 27333 25755 4412
22 27302 25758 4415
22 27317 25756 4414
21 27374 25755 4406
23 27434 25758 4406
21 27518 25753 4405
22 27573 25755 4401
22 27566 25753 4403
22 27566 25750 4409
21 27540 25755 4402
22 27524 25762 4400
22 27500 25756 4403
22 27482 25753 4405
21 27472 25754 4401
23 27457 25753 4403
21 27442 25753 4402
22 27456 25750 4403
22 27549 25753 4402
22 27763 25746 4415
21 27964 25741 4411
23 28062 25731 4407
21 28037 25723 4415
22 27898 25707 4414
23 27721 25696 4410
21 27551 25688 4415
22 27405 25681 4413
22 27312 25679 4414
22 27269 25673 4410
21 27238 25665 4413
23 27272 25669 4412
21 27320 25669 4415
22 27382 25665 4414
22 27433 25672 4402
22 27453 25662 4403
21 27417 25661 4402
23 27406 25656 4401
21 27369 25654 4402
22 27340 25650 4401
22 27299 25645 4401
22 27289 25638 4405
21 27291 25638 4404
23 27291 25627 4406
21 27283 25620 4401
22 27303 25616 4402
22 27326 25611 4405
22 27463 25602 4403
21 27671 25592 4405
23 27859 25585 4416
21 27921 25578 4413
22 27873 25575 4412
22 27713 25567 4416
22 27514 25565 4411
21 27352 25561 4413
23 27224 25558 4411
21 27151 25551 4414
22 27112 25564 4415
22 27148 25563 4413
22 27193 25566 4410
21 27258 25568 4415
23 27328 25569 4412
21 27379 25567 4412
22 27374 25567 4406
22 27347 25566 4402
22 27313 25563 4404
21 27277 25556 4404
23 27234 25556 4401
22 27218 25560 4409
21 27198 25557 4407
23 27209 25554 4401
21 27194 25556 4407
22 27212 25554 4404
22 27213 25553 4404
22 27291 25558 4409
21 27464 25561 4404
22 27631 25564 4401
22 27759 25575 4405
22 27754 25592 4405
21 27670 25601 4414
23 27513 25622 4412
21 27344 25643 4415
22 27207 25664 4409
22 27138 25690 4412
22 27093 25713 4413
21 27088 25733 4414
23 27144 25756 4409
21 27184 25775 4412
22 27263 25794 4413
22 27320 25811 4413
22 27331 25825 4414
21 27326 25837 4415
23 27301 25849 4414
21 27256 25860 4405
22 27228 25870 4402
22 27194 25882 4399
22 27177 25895 4401
21 27169 25905 4403
23 27167 25918 4401
21 27182 25927 4401
22 27207 25938 4405
22 27280 25949 4404
22 27475 25956 4399
21 27665 25963 4406
23 27764 25971 4401
21 27768 25979 4404
22 27641 25994 4400
22 27500 25990 4412
22 27366 25994 4414
22 27233 25995 4410
22 27137 26001 4405
22 27097 26005 4407
21 27099 26008 4417
23 27141 26010 4415
21 27207 26009 4416
22 27297 26015 4413
22 27338 26011 4416
22 27367 26010 4414
21 27371 26015 4413
23 27347 26019 4414
21 27319 26012 4410
22 27306 26024 4409
22 27272 26025 4405
22 27244 26025 4406
21 27242 26023 4407
23 27276 26027 4403
21 27277 26027 4405
22 27399 26029 4399
22 27574 26026 4403
22 27761 26026 4404
21 27868 26034 4401
23 27840 26025 4403
21 27729 26027 4403
22 27579 26029 4404
22 27407 26025 4406
22 27279 26025 4407
21 27192 26027 4408
23 27172 26019 4411
21 27177 26020 4412
22 27226 26018 4414
21 27294 26013 4415
23 27369 26010 4412
21 27420 26008 4411
22 27428 26003 4412
22 27405 26005 4414
22 27408 26003 4414
21 27369 25999 4413
23 27352 25999 4415
21 27322 25999 4413
22 27314 25995 4412
23 27297 25992 4408
21 27309 25996 4407
22 27322 25991 4402
22 27444 25990 4404
22 27615 25987 4403
21 27782 25993 4405
23 27882 25990 4402
21 27861 25989 4405
22 27747 25991 4404
22 27575 25990 4403
22 27425 25987 4398
21 27305 25992 4406
23 27223 25994 4401
21 27180 25988 4404
22 27181 25984 4408
22 27231 25985 4404
22 27302 25988 4414
21 27375 25985 4413
23 27420 25981 4413
21 27431 25984 4415
22 27433 25985 4414
22 27389 25983 4414
22 27353 25985 4414
21 27352 25990 4408
23 27330 25983 4417
21 27296 25987 4416
22 27287 25988 4415
22 27313 25985 4418
22 27336 25981 4417
21 27359 25986 4415
23 27461 25985 4410
21 27610 25986 4405
22 27805 25992 4401
22 27908 25991 4405
22 27882 25989 4402
21 27759 25990 4398
23 27609 25989 4406
21 27466 25993 4403
22 27353 25991 4409
22 27271 25992 4406
22 27253 25992 4406
21 27249 25990 4403
23 27291 25985 4405
22 27332 25989 4403
21 27407 25991 4403
23 27434 25987 4414
21 27462 25982 4415
22 27457 25981 4415
22 27420 25985 4414
22 27398 25985 4420
21 27382 25989 4416
23 27368 25986 4415
21 27338 25988 4419
22 27322 25990 4414
21 27346 25989 4412
23 27328 25994 4414
21 27342 25993 4415
22 27448 25996 4409
22 27588 25991 4412
22 27774 25994 4413
21 27863 25995 4405
23 27849 25994 4405
21 27767 25999 4404
22 27618 26002 4405
22 27465 25995 4403
22 27358 25996 4405
21 27283 25997 4402
23 27247 25995 4404
21 27251 25999 4405
22 27288 25997 4402
22 27362 25997 4404
22 27422 25996 4406
21 27456 25996 4404
23 27469 25996 4401
21 27443 25988 4415
22 27407 25989 4416
22 27382 25989 4415
22 27349 25986 4415
21 27331 25987 4416
23 27317 25982 4415
21 27314 25985 4414
22 27346 25984 4416
22 27352 25988 4417
22 27392 25987 4415
21 27535 25995 4411
23 27726 25985 4414
22 27880 25991 4413
21 27932 25991 4411
23 27872 25985 4415
21 27712 25988 4404
22 27559 25986 4404
22 27422 25976 4412
22 27295 25970 4406
21 27243 25964 4409
23 27201 25956 4411
21 27233 25946 4407
22 27283 25946 4403
22 27358 25941 4404
22 27420 25929 4404
21 27460 25927 4403
23 27462 25918 4405
21 27434 25915 4405
22 27423 25911 4407
22 27382 25907 4413
22 27342 25901 4414
21 27342 25895 4414
23 27338 25889 4412
21 27349 25887 4414
22 27335 25887 4412
22 27352 25881 4414
22 27351 25883 4414
21 27391 25883 4413
23 27515 25887 4410
21 27695 25882 4412
22 27860 25889 4411
22 27915 25890 4416
22 27863 25889 4417
21 27736 25895 4417
22 27578 25894 4405
22 27439 25901 4402
22 27312 25900 4410
21 27259 25905 4402
23 27212 25910 4404
21 27201 25913 4403
22 27240 25908 4401
22 27275 25911 4404
22 27297 25915 4402
21 27332 25911 4404
23 27333 25914 4403
22 27323 25914 4402
21 27304 25918 4405
23 27275 25922 4403
21 27279 25924 4404
22 27300 25925 4415
22 27289 25928 4414
22 27285 25929 4414
21 27296 25931 4413
23 27301 25940 4411
21 27289 25937 4415
22 27306 25941 4411
22 27295 25942 4414
22 27310 25941 4414
21 27340 25940 4412
23 27446 25944 4412
21 27640 25946 4417
22 27789 25952 4416
22 27854 25946 4413
22 27801 25949 4404
21 27652 25954 4408
23 27512 25955 4406
21 27370 25951 4407
22 27274 25950 4406
22 27194 25953 4405
22 27148 25954 4402
21 27150 25952 4403
23 27178 25953 4412
21 27222 25952 4406
22 27267 25953 4403
22 27299 25952 4412
22 27322 25950 4403
21 27334 25947 4403
23 27299 25948 4402
21 27268 25944 4411
22 27247 25944 4415
22 27261 25946 4411
22 27236 25944 4413
21 27240 25944 4418
23 27234 25946 4414
21 27242 25942 4414
22 27270 25948 4413
23 27275 25944 4414
21 27296 25942 4415
22 27285 25943 4412
22 27293 25941 4415
22 27316 25942 4417
21 27439 25947 4415
23 27634 25940 4415
21 27751 25943 4409
22 27810 25943 4402
22 27770 25944 4400
22 27653 25939 4405
21 27504 25938 4404
22 27394 25934 4403
22 27295 25934 4402
22 27227 25931 4406
21 27195 25926 4399
23 27193 25926 4405
21 27223 25922 4403
22 27274 25920 4400
22 27340 25920 4403
22 27392 25924 4405
