Time,EDA,PPG,Temp
120,,,
2,26287,26636,3871
24,26293,26648,3874
45,26302,26649,3871
67,26299,26642,3871
89,26306,26628,3871
111,26311,26625,3872
132,26312,26604,3871
155,26315,26582,3872
176,26317,26593,3872
198,26320,26577,3873
220,26323,26598,3872
242,26324,26598,3870
263,26327,26599,3871
286,26329,26615,3872
308,26333,26605,3873
329,26333,26595,3873
352,26335,26582,3873
373,26336,26586,3873
395,26339,26608,3872
417,26336,26611,3872
439,26336,26628,3873
460,26340,26617,3873
483,26338,26627,3871
504,26339,26631,3872
526,26339,26628,3873
548,26342,26624,3873
570,26338,26615,3872
591,26340,26614,3871
614,26340,26624,3871
635,26339,26609,3869
657,26338,26604,3871
679,26340,26592,3872
701,26338,26598,3871
722,26338,26580,3872
745,26337,26598,3872
766,26337,26581,3871
788,26335,26585,3873
810,26334,26583,3870
832,26334,26598,3872
853,26332,26599,3872
876,26332,26592,3872
897,26332,26590,3874
919,26330,26607,3873
941,26329,26631,3873
963,26329,26634,3872
984,26328,26646,3873
1007,26324,26650,3872
1028,26324,26640,3873
1050,26322,26648,3874
1072,26325,26641,3871
1094,26322,26643,3872
1115,26321,26607,3872
1138,26322,26619,3873
1159,26320,26626,3871
1181,26318,26620,3873
1204,26318,26623,3875
1225,26318,26630,3871
1247,26316,26591,3871
1269,26316,26610,3871
1291,26316,26609,3874
1312,26314,26610,3872
1335,26315,26636,3872
1356,26316,26598,3870
1378,26315,26604,3872
1400,26312,26596,3871
1422,26313,26618,3874
1443,26313,26634,3872
1465,26311,26644,3871
1487,26314,26661,3874
1509,26312,26663,3873
1530,26313,26644,3873
1553,26312,26637,3874
1574,26312,26627,3870
1596,26311,26642,3874
1618,26311,26629,3873
1640,26312,26603,3871
1661,26310,26596,3873
1684,26306,26574,3873
1705,26309,26585,3873
1727,26311,26596,3873
1749,26308,26620,3872
1771,26308,26628,3871
1792,26307,26619,3873
1815,26307,26601,3873
1836,26308,26601,3873
1858,26310,26596,3872
1880,26305,26589,3874
1902,26307,26604,3873
1923,26307,26580,3870
1946,26305,26593,3871
1967,26301,26629,3871
1989,26305,26648,3871
2011,26300,26658,3872
2033,26301,26653,3871
2054,26300,26648,3871
2077,26297,26640,3871
2099,26298,26634,3872
2120,26296,26607,3873
2143,26295,26601,3871
2164,26294,26612,3872
2186,26293,26623,3872
2208,26295,26615,3872
2230,26292,26603,3873
2251,26292,26621,3873
2274,26292,26605,3872
2295,26291,26612,3872
2317,26289,26616,3871
2339,26291,26598,3874
2361,26288,26614,3872
2382,26286,26594,3873
2405,26287,26594,3872
2426,26288,26589,3872
2448,26283,26600,3874
2470,26284,26597,3872
2492,26282,26621,3875
2513,26283,26627,3873
2536,26279,26640,3871
2557,26280,26655,3872
2579,26277,26648,3872
2601,26277,26644,3873
2623,26275,26630,3871
2644,26274,26619,3871
2667,26274,26618,3871
2688,26272,26609,3872
2710,26271,26609,3873
2732,26269,26609,3873
2754,26268,26614,3871
2775,26268,26619,3870
2798,26265,26631,3874
2819,26265,26607,3871
2841,26266,26605,3874
2862,26266,26611,3870
2885,26262,26588,3874
2906,26266,26601,3873
2928,26266,26599,3873
2950,26263,26604,3873
2972,26268,26601,3874
2993,26269,26604,3874
3016,26270,26630,3872
3038,26269,26606,3871
3059,26272,26617,3874
3082,26273,26612,3871
3103,26275,26626,3873
3125,26277,26640,3873
3147,26278,26644,3870
3169,26280,26643,3871
3190,26283,26646,3872
3213,26284,26634,3871
3234,26289,26613,3875
3256,26293,26632,3873
3278,26293,26610,3873
3300,26291,26616,3871
3321,26297,26613,3871
3344,26300,26620,3871
3365,26301,26593,3874
3387,26304,26615,3872
3409,26306,26595,3872
3431,26306,26596,3871
3452,26307,26605,3872
3475,26312,26602,3873
3496,26316,26599,3871
3518,26319,26585,3872
3540,26322,26599,3873
3562,26326,26606,3872
3583,26331,26606,3874
3606,26335,26611,3875
3627,26340,26612,3873
3649,26345,26616,3873
3671,26351,26621,3873
3693,26360,26629,3872
3714,26364,26651,3872
3737,26369,26649,3873
3758,26376,26635,3872
3780,26384,26635,3872
3802,26390,26636,3871
3824,26396,26627,3872
3845,26404,26620,3870
3868,26408,26606,3871
3889,26415,26606,3871
3911,26422,26615,3873
3934,26429,26646,3873
3955,26437,26635,3872
3977,26440,26648,3874
3999,26449,26623,3871
4021,26453,26615,3869
4042,26459,26606,3872
4065,26463,26598,3872
4086,26469,26577,3872
4108,26475,26584,3873
4130,26480,26600,3872
4152,26484,26615,3873
4173,26490,26623,3874
4196,26495,26640,3872
4217,26497,26662,3874
4239,26503,26624,3873
4260,26510,26635,3873
4283,26514,26649,3873
4304,26520,26643,3872
4326,26523,26647,3872
4348,26531,26636,3873
4370,26535,26624,3872
4391,26543,26609,3872
4414,26549,26599,3873
4435,26555,26589,3872
4457,26561,26586,3872
4479,26568,26584,3872
4501,26570,26609,3873
4522,26577,26603,3871
4545,26581,26600,3871
4566,26585,26610,3873
4588,26589,26590,3871
4610,26593,26602,3869
4632,26595,26590,3872
4653,26597,26606,3872
4676,26600,26613,3872
4697,26597,26621,3872
4719,26604,26616,3872
4741,26603,26609,3872
4763,26603,26608,3872
4784,26606,26626,3873
4807,26605,26630,3874
4828,26607,26637,3872
4850,26609,26643,3873
4873,26613,26628,3873
4894,26612,26628,3871
4916,26619,26633,3873
4938,26621,26617,3874
4960,26624,26605,3871
4981,26629,26578,3873
5004,26634,26618,3873
5025,26634,26612,3872
5047,26640,26610,3873
5069,26645,26621,3872
5091,26651,26604,3871
