Time,EDA,PPG,Temp
120,,,
1,21220,26927,3845
23,21225,26885,3856
45,21222,26768,3855
67,21218,26687,3854
88,21217,26642,3852
111,21212,26606,3856
132,21210,26608,3855
154,21204,26606,3845
176,21206,26600,3856
198,21205,26622,3855
219,21202,26637,3854
242,21203,26666,3848
263,21202,26635,3854
285,21202,26652,3854
307,21201,26656,3824
329,21196,26597,3829
350,21195,26600,3829
373,21195,26614,3830
394,21199,26604,3825
416,21198,26608,3829
438,21200,26615,3829
460,21203,26670,3829
481,21206,26810,3826
504,21206,26899,3829
525,21211,26905,3828
547,21215,26853,3825
569,21219,26749,3831
591,21222,26661,3830
612,21226,26608,3826
635,21238,26585,3855
656,21241,26601,3850
678,21250,26602,3856
700,21256,26620,3854
722,21262,26631,3851
743,21267,26629,3855
766,21274,26637,3857
787,21283,26645,3852
809,21288,26639,3855
830,21297,26639,3856
853,21305,26627,3856
874,21313,26618,3851
896,21320,26629,3849
919,21329,26617,3855
940,21338,26633,3855
962,21338,26614,3825
984,21348,26606,3828
1006,21355,26618,3831
1027,21364,26614,3828
1050,21374,26712,3824
1071,21381,26833,3830
1093,21390,26889,3830
1115,21399,26880,3830
1137,21406,26804,3826
1158,21413,26714,3829
1181,21422,26637,3828
1202,21430,26608,3826
1224,21438,26593,3827
1246,21444,26593,3830
1268,21456,26589,3851
1289,21468,26629,3855
1312,21473,26628,3855
1333,21482,26622,3855
1355,21489,26651,3855
1377,21497,26648,3856
1399,21503,26653,3856
1420,21512,26646,3855
1443,21516,26628,3855
1464,21522,26631,3854
1486,21533,26647,3851
1508,21539,26634,3856
1530,21544,26645,3854
1551,21548,26637,3848
1574,21557,26646,3855
1595,21555,26610,3830
1617,21562,26615,3826
1639,21568,26618,3826
1661,21575,26617,3828
1682,21578,26679,3830
1705,21584,26796,3825
1726,21589,26856,3827
1748,21593,26846,3828
1770,21599,26788,3828
1792,21604,26701,3824
1813,21607,26644,3829
1836,21610,26601,3829
