Time,EDA,PPG,Temp
120,,,
17,11412,26372,3840
40,11400,26400,3843
61,11400,26390,3831
83,11402,26362,3837
105,11393,26406,3839
127,11389,26395,3823
148,11394,26410,3841
171,11383,26378,3818
192,11389,26353,3808
214,11389,26408,3818
236,11386,26391,3816
258,11388,26392,3820
279,11389,26463,3817
302,11384,26560,3821
323,11385,26735,3816
345,11382,26930,3816
367,11384,27029,3818
389,11378,27036,3821
410,11370,26956,3819
433,11378,26794,3822
454,11368,26701,3814
476,11380,26584,3811
498,11364,26513,3836
520,11361,26517,3840
541,11359,26452,3839
564,11357,26465,3826
585,11352,26436,3837
607,11352,26498,3835
629,11350,26525,3825
651,11352,26531,3834
672,11345,26509,3839
695,11346,26466,3841
716,11339,26443,3836
738,11335,26407,3838
760,11345,26387,3839
782,11333,26363,3833
804,11329,26355,3814
826,11336,26340,3821
848,11335,26397,3818
869,11334,26385,3813
892,11335,26378,3821
913,11335,26390,3814
935,11327,26341,3819
957,11327,26321,3819
979,11331,26325,3807
1000,11317,26329,3820
1023,11318,26316,3812
1044,11312,26304,3812
1066,11317,26314,3818
1088,11314,26314,3819
1110,11308,26324,3810
1131,11304,26416,3841
1153,11304,26564,3841
1175,11300,26742,3836
1197,11293,26937,3841
1218,11288,27061,3835
1241,11285,27062,3837
1262,11281,27013,3838
1284,11281,26898,3839
1306,11277,26769,3839
1328,11278,26646,3837
1349,11271,26604,3838
1372,11262,26548,3829
1393,11268,26478,3841
1415,11259,26439,3836
1437,11254,26447,3821
1459,11252,26419,3812
1480,11261,26469,3821
1503,11248,26497,3817
1524,11243,26523,3813
1546,11242,26523,3816
1568,11238,26450,3817
1590,11230,26421,3819
1611,11230,26366,3818
1634,11228,26343,3821
1655,11230,26314,3819
1677,11225,26310,3819
1700,11222,26314,3820
1721,11220,26325,3818
1743,11218,26333,3818
1765,11209,26351,3840
1787,11210,26380,3838
1808,11204,26357,3843
1831,11204,26332,3839
1852,11193,26343,3838
1874,11192,26342,3832
1896,11195,26364,3841
1918,11194,26376,3832
1939,11191,26371,3837
1962,11198,26396,3830
1983,11196,26468,3837
2005,11196,26662,3842
2027,11193,26889,3822
2049,11199,27047,3837
2070,11195,27036,3839
2093,11199,26927,3820
2114,11209,26838,3814
2136,11200,26690,3820
2158,11205,26621,3814
2180,11208,26536,3819
2201,11204,26438,3813
2224,11212,26394,3820
2245,11211,26359,3818
2267,11205,26365,3813
2289,11204,26365,3819
2311,11205,26364,3817
2332,11202,26391,3821
2355,11195,26379,3820
2376,11196,26359,3810
2398,11191,26347,3826
2420,11183,26326,3840
2442,11177,26332,3840
2463,11177,26303,3838
2486,11171,26258,3840
2507,11169,26285,3836
2529,11165,26310,3840
2550,11164,26342,3841
2573,11159,26359,3839
2594,11160,26382,3835
2616,11158,26363,3836
2639,11158,26367,3835
2660,11158,26378,3841
2682,11158,26364,3835
2704,11153,26352,3837
2726,11157,26342,3822
2747,11160,26351,3819
2770,11159,26468,3811
2791,11155,26628,3821
2813,11159,26807,3820
2835,11155,26938,3816
2857,11160,26949,3814
2878,11164,26858,3818
2901,11155,26743,3820
2922,11151,26610,3820
2944,11159,26515,3815
2966,11153,26416,3819
2988,11157,26352,3818
3009,11154,26355,3815
3032,11150,26346,3817
3053,11146,26401,3838
3075,11154,26415,3841
3097,11142,26437,3843
3119,11140,26421,3837
3140,11146,26444,3839
3163,11146,26415,3841
3184,11146,26411,3837
3206,11153,26397,3839
3228,11143,26361,3841
3250,11143,26357,3832
3271,11146,26337,3831
3294,11146,26311,3841
3315,11141,26315,3840
3337,11146,26312,3839
3359,11144,26318,3813
3381,11148,26244,3818
3402,11151,26305,3814
3425,11154,26340,3811
3446,11153,26360,3817
3468,11154,26367,3820
3490,11152,26372,3814
3512,11150,26501,3807
3533,11155,26659,3819
3556,11152,26810,3821
3578,11155,26894,3820
3599,11149,26890,3809
3622,11149,26825,3821
3643,11152,26731,3818
3665,11148,26598,3820
3687,11139,26504,3841
3709,11140,26424,3836
3730,11137,26345,3840
3753,11134,26315,3840
3774,11130,26328,3834
3796,11130,26359,3835
3818,11127,26432,3841
3840,11125,26482,3831
3861,11126,26501,3840
3884,11121,26483,3837
3905,11116,26456,3839
3927,11113,26461,3842
3948,11116,26390,3842
3971,11114,26329,3837
3992,11107,26333,3838
4014,11113,26282,3814
4036,11119,26293,3822
4058,11111,26329,3821
4079,11105,26342,3814
4102,11106,26330,3819
4123,11108,26316,3821
4145,11106,26299,3821
4167,11102,26337,3813
4189,11101,26407,3819
4210,11102,26579,3819
4233,11093,26781,3822
4254,11091,26881,3812
4276,11092,26904,3818
4298,11093,26842,3818
4320,11090,26746,3814
4341,11078,26625,3836
4364,11077,26537,3839
4385,11073,26430,3839
4407,11077,26350,3842
4429,11065,26331,3844
4451,11067,26369,3836
4472,11066,26395,3840
4495,11069,26460,3842
4517,11061,26506,3828
4538,11065,26505,3838
4561,11064,26488,3843
4582,11065,26474,3839
4604,11073,26469,3841
4626,11063,26449,3842
4648,11068,26438,3818
4669,11071,26378,3816
4692,11073,26312,3819
4713,11074,26256,3818
4735,11076,26191,3816
4757,11075,26149,3809
4779,11079,26125,3816
4800,11080,26139,3817
4823,11081,26217,3808
4844,11085,26236,3820
4866,11086,26315,3819
4888,11095,26402,3819
4910,11090,26486,3817
4931,11103,26547,3819
