Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 25882 21 4218
18 25892 23 4218
19 25919 24 4218
19 25941 24 4218
20 25951 25 4218
19 25972 26 4218
20 26012 26 4218
19 26057 26 4217
20 26090 28 4219
19 26076 28 4218
21 26052 28 4218
19 26022 28 4218
19 25982 28 4217
20 25970 27 4217
19 25952 28 4218
20 25934 29 4218
19 25841 28 4217
20 25750 27 4218
19 25807 29 4217
20 25846 29 4217
19 25880 28 4217
21 25975 29 4219
19 26141 28 4217
19 26409 27 4218
20 26303 28 4218
19 26222 29 4218
20 26034 28 4218
19 25887 28 4217
20 25648 29 4217
19 25392 28 4218
20 25732 28 4219
20 26264 29 4217
20 26512 29 4220
19 26459 28 4218
20 26380 29 4218
19 26033 30 4217
19 25822 28 4217
20 25789 29 4217
19 25787 30 4219
20 25840 29 4217
19 25901 29 4216
20 25980 28 4218
20 26043 28 4218
20 26123 28 4219
19 26179 28 4218
20 26238 29 4217
19 26253 29 4217
19 26250 29 4219
20 26227 30 4218
19 26211 28 4218
20 26208 28 4217
19 25919 28 4219
20 25803 29 4218
20 25543 29 4218
20 25601 29 4218
19 25460 30 4218
20 26115 29 4218
19 26175 28 4218
20 26338 29 4217
19 26369 28 4217
19 26233 29 4217
20 26144 29 4218
19 26054 29 4219
21 25996 29 4217
19 25991 29 4218
20 25845 29 4217
19 25996 30 4217
20 25514 29 4217
19 26110 29 4218
20 26171 29 4217
19 25991 28 4217
19 26157 28 4217
20 25894 29 4218
19 25819 27 4218
21 25857 29 4219
19 25861 28 4218
20 25966 29 4218
19 25602 28 4217
20 25816 28 4216
19 26112 28 4218
20 26411 27 4217
19 26366 28 4217
20 26144 29 4217
19 25954 29 4218
19 25782 28 4218
21 26276 27 4217
19 25630 29 4217
20 25567 28 4218
19 26062 28 4218
20 26203 29 4217
19 25738 28 4217
20 26742 27 4218
19 26456 28 4217
20 26554 28 4218
19 26442 28 4218
20 26071 29 4217
20 26019 28 4219
19 26414 29 4218
20 26360 28 4219
19 26331 29 4218
20 26251 29 4217
19 26166 28 4218
20 25995 28 4218
19 25860 28 4217
20 26052 29 4216
19 26130 28 4215
21 26238 28 4218
19 26192 29 4218
19 26195 28 4217
20 26140 29 4218
19 26099 28 4218
20 26005 29 4216
19 25995 27 4217
20 25844 28 4216
19 26038 28 4216
20 26168 29 4218
19 26396 29 4218
21 26160 28 4217
19 26233 28 4216
19 26320 29 4216
20 26272 28 4219
19 26228 28 4217
20 26171 29 4217
19 26092 28 4215
20 26134 29 4218
19 26230 27 4217
20 25865 30 4218
20 25833 28 4217
20 25867 29 4220
19 26171 29 4217
20 26418 29 4217
19 26375 29 4216
19 26328 29 4217
20 26111 29 4217
19 25937 29 4218
20 25838 29 4218
19 26382 30 4218
20 26025 30 4217
20 26306 30 4218
20 26309 30 4218
19 26352 30 4217
20 26222 29 4217
19 26113 30 4218
19 26155 31 4219
20 26182 31 4218
19 26053 30 4217
20 26030 31 4217
19 26089 31 4218
20 25853 30 4217
20 26180 30 4216
20 26185 30 4217
19 26209 29 4218
20 26146 29 4217
19 26048 31 4218
20 25965 30 4217
19 25959 32 4218
19 26265 36 4217
20 26450 39 4218
19 26481 43 4216
21 26476 47 4217
19 26371 51 4218
20 26174 55 4217
19 25963 59 4219
20 25924 64 4217
19 25952 66 4219
20 25977 71 4218
19 25801 74 4219
19 25529 77 4218
20 25852 81 4216
19 26083 83 4217
21 26313 85 4219
19 26473 86 4217
20 26458 89 4217
19 26468 91 4215
20 26494 93 4216
19 26110 94 4218
20 25910 95 4219
19 25783 96 4218
20 25871 98 4217
19 25393 98 4217
19 25483 99 4218
21 26048 100 4218
19 26126 100 4217
20 25735 101 4217
19 25453 101 4218
20 25771 102 4219
19 25674 102 4216
20 24746 103 4217
19 26719 103 4217
20 26894 103 4218
19 26521 103 4217
20 26240 103 4217
20 25755 104 4217
19 25691 104 4216
20 25259 103 4218
19 25651 105 4216
20 25922 103 4217
19 25741 105 4217
20 26123 105 4217
19 26102 104 4218
20 26237 105 4217
19 26438 105 4219
21 26443 104 4217
19 26425 104 4218
19 26169 105 4217
20 26149 104 4217
19 25906 104 4216
20 24817 107 4218
19 24960 103 4217
20 26015 105 4217
19 26616 104 4218
20 26828 105 4216
19 26733 105 4217
21 26508 104 4216
19 26145 104 4216
19 26066 105 4217
20 25974 106 4217
19 26112 104 4217
20 25961 106 4218
19 25893 104 4218
20 25679 106 4217
19 25959 106 4218
20 26278 105 4216
20 26277 105 4218
20 26007 105 4217
19 25744 106 4217
20 25496 106 4216
19 25300 105 4217
19 25873 106 4217
20 26045 105 4217
19 26189 106 4218
20 26362 106 4217
19 26355 106 4218
20 26257 106 4218
20 26190 106 4217
20 26150 107 4217
19 25743 106 4218
20 25312 106 4216
19 25570 107 4218
19 25529 107 4216
20 25877 105 4217
19 25791 106 4217
20 25462 106 4217
19 25793 105 4218
20 25947 106 4218
20 26155 106 4217
20 26290 105 4217
19 26182 105 4219
20 26122 104 4217
19 26243 106 4218
20 26165 105 4218
19 26055 105 4215
19 25815 105 4217
20 25811 106 4218
19 25896 105 4219
21 25831 106 4218
19 25689 105 4217
20 25256 105 4219
19 25093 104 4217
20 25741 105 4217
19 26557 104 4218
20 26825 105 4217
19 26720 104 4217
19 26550 105 4216
20 26363 105 4218
19 26111 105 4215
21 25909 105 4219
19 25705 103 4219
20 25535 104 4216
19 25399 104 4217
20 25078 104 4217
19 25195 104 4217
20 25532 104 4217
19 25869 104 4215
20 26236 105 4218
19 26302 105 4217
19 26010 105 4217
21 25770 106 4216
19 25564 104 4217
20 25164 104 4216
19 25341 104 4218
20 25736 104 4216
19 25977 104 4216
20 26083 104 4217
19 26296 105 4217
20 26357 104 4218
19 26187 105 4216
20 25965 105 4217
20 25928 105 4217
19 25691 105 4216
20 25608 106 4217
19 25614 105 4217
20 25793 105 4217
19 25836 106 4217
20 25859 106 4217
19 25789 107 4218
20 25773 106 4218
19 26037 106 4216
21 26151 105 4216
19 25934 106 4217
19 25760 106 4218
20 25643 106 4216
19 25485 106 4216
20 25644 106 4216
19 25809 107 4217
20 26093 107 4217
19 26284 107 4217
20 26412 107 4217
19 26342 106 4216
21 26185 106 4217
19 26176 107 4218
19 26197 106 4217
20 26129 107 4219
19 26045 106 4216
20 25996 106 4217
19 25973 105 4218
20 25936 106 4217
19 25991 106 4217
20 26025 105 4216
20 25969 106 4217
20 25805 106 4216
19 25605 105 4217
20 25453 106 4218
19 25282 105 4217
19 25116 106 4217
20 25385 105 4215
19 25699 106 4216
20 25792 105 4217
19 25932 105 4217
20 26200 105 4218
20 26235 105 4218
20 26457 106 4218
19 26634 105 4218
20 26636 106 4215
19 26486 104 4217
19 26340 105 4217
20 26187 104 4218
19 26001 104 4217
20 25727 104 4217
19 25519 104 4217
20 25475 105 4216
20 25415 105 4217
20 25316 104 4218
19 25154 104 4217
20 25470 104 4218
19 25723 105 4219
20 25966 104 4216
19 25783 104 4216
19 25292 103 4217
20 25058 103 4218
19 25277 104 4218
21 25260 103 4215
19 24754 103 4217
20 25348 104 4217
19 25899 101 4217
20 26088 102 4216
19 26143 101 4217
20 26240 101 4216
19 26403 101 4214
19 26395 101 4217
20 26300 100 4217
19 26066 99 4217
21 25894 100 4217
19 25812 98 4217
20 25803 97 4216
19 25792 97 4215
20 25798 97 4217
19 25847 94 4218
20 25851 93 4218
19 25905 93 4218
19 26030 93 4217
20 26123 92 4220
19 26138 90 4217
21 26100 91 4217
19 26038 91 4217
20 25905 90 4218
19 25805 91 4216
20 25805 88 4217
19 25750 88 4216
20 25708 88 4218
19 25753 88 4216
20 25739 87 4216
19 25735 87 4216
20 25712 87 4217
20 25626 86 4217
19 25480 88 4217
20 25279 88 4217
19 24947 88 4216
20 24592 87 4217
19 24422 87 4214
20 25009 86 4217
19 26152 87 4216
20 26681 87 4217
19 26814 87 4218
21 26732 88 4216
19 26544 87 4217
19 26314 87 4218
20 26224 87 4218
19 26138 87 4217
20 26027 87 4218
19 25924 87 4215
20 25862 87 4216
19 25820 87 4215
20 25757 86 4218
19 25707 86 4217
21 25599 88 4217
19 25523 87 4216
19 25456 87 4217
20 25542 87 4217
19 25633 87 4217
20 25681 87 4215
19 25750 86 4217
20 25773 86 4217
19 25800 87 4218
20 25809 87 4217
20 25818 87 4217
20 25841 87 4217
19 25862 87 4217
20 25881 87 4218
19 25948 86 4216
19 26002 87 4216
20 26013 86 4216
19 25979 87 4218
20 25976 87 4217
19 25934 87 4217
20 25901 87 4217
20 25861 86 4216
20 25864 88 4216
19 25850 86 4217
20 25834 87 4217
19 25840 88 4218
19 25847 88 4217
20 25845 88 4217
19 25850 88 4216
20 25886 88 4216
19 25866 88 4217
20 25848 88 4216
20 25817 87 4217
20 25794 88 4217
19 25759 89 4218
20 25739 89 4216
19 25666 88 4216
19 25636 89 4218
20 25610 88 4217
19 25618 89 4216
20 25638 87 4215
19 25659 89 4217
21 25664 90 4216
19 25629 89 4219
20 25605 90 4217
19 25611 89 4216
20 25589 90 4218
19 25565 89 4217
20 25557 90 4217
19 25577 91 4219
19 25605 90 4217
20 25624 90 4216
19 25696 91 4217
21 25716 91 4217
19 25754 90 4217
20 25759 92 4218
19 25749 92 4217
20 25801 91 4216
19 25836 93 4215
20 25851 91 4217
19 25878 92 4217
19 25902 92 4216
20 25882 91 4216
19 25862 94 4217
21 25834 94 4217
19 25800 94 4217
20 25767 94 4216
19 25747 95 4217
20 25750 95 4216
19 25763 96 4218
20 25772 96 4217
19 25785 97 4217
20 25806 97 4217
19 25806 98 4217
20 25808 98 4217
20 25788 100 4217
19 25797 100 4217
20 25783 99 4218
19 25766 101 4218
20 25758 101 4216
19 25741 101 4216
20 25727 101 4217
19 25737 100 4217
20 25733 101 4217
19 25723 100 4216
21 25721 100 4216
19 25695 101 4216
19 25709 102 4218
20 25695 101 4217
19 25729 101 4218
20 25754 101 4217
19 25756 100 4214
20 25753 102 4217
19 25757 100 4218
20 25731 101 4218
19 25754 99 4218
21 25736 99 4217
19 25732 99 4216
19 25740 99 4217
20 25745 98 4217
19 25759 99 4217
20 25777 98 4217
19 25831 97 4217
20 25861 98 4217
19 25888 98 4216
20 25889 98 4216
20 25877 98 4216
20 25870 97 4218
19 25849 97 4216
19 25816 96 4218
20 25809 96 4218
19 25817 97 4218
20 25834 96 4218
19 25870 97 4219
20 25876 96 4217
19 25830 97 4218
20 25806 98 4217
20 25774 98 4217
20 25761 98 4216
19 25697 99 4216
20 25624 99 4217
19 25779 99 4218
19 25879 99 4217
20 25861 99 4217
19 25810 100 4217
20 25764 99 4217
19 25786 101 4218
20 25869 101 4219
20 25918 101 4216
20 25906 101 4215
19 25894 102 4217
20 25883 102 4216
19 25877 101 4217
19 25845 102 4216
20 25846 102 4217
19 25843 102 4216
20 25829 101 4217
19 25832 102 4218
21 25817 102 4217
19 25825 103 4217
20 25836 102 4216
19 25854 103 4218
20 25885 102 4216
19 25907 103 4216
20 25945 101 4218
19 25972 102 4218
19 25975 102 4217
20 25965 101 4216
19 25941 102 4216
21 25912 102 4217
19 25901 102 4216
20 25896 102 4217
19 25896 102 4215
20 25881 102 4216
19 25886 102 4216
20 25886 102 4217
19 25898 103 4215
19 25909 103 4216
20 25918 102 4216
19 25910 101 4218
21 25900 103 4217
19 25891 102 4218
20 25890 101 4217
19 25874 102 4215
20 25871 101 4216
19 25870 102 4217
20 25869 101 4216
19 25851 103 4217
20 25847 102 4217
19 25859 101 4217
20 25864 103 4216
20 25851 101 4216
19 25823 102 4215
20 25826 102 4217
19 25831 102 4215
20 25828 102 4215
19 25824 103 4217
20 25820 102 4215
19 25840 102 4216
20 25831 102 4218
19 25840 101 4214
20 25833 103 4216
20 25863 102 4217
19 25903 104 4215
20 25935 102 4216
19 25954 103 4215
20 25943 103 4214
19 25940 103 4215
20 25865 102 4215
19 26016 103 4216
20 26370 103 4216
19 24581 103 4217
21 22759 104 4217
19 21575 103 4216
19 23462 103 4216
20 23901 103 4216
19 26909 102 4216
20 28323 103 4216
19 28886 103 4215
20 28699 103 4215
19 27777 103 4216
20 26609 103 4217
20 25676 104 4217
20 25047 103 4217
19 24885 103 4216
19 25029 103 4215
20 25214 104 4215
19 25251 103 4215
20 25442 104 4216
19 25495 103 4216
20 25189 103 4214
19 25992 104 4215
20 26339 104 4215
20 25480 104 4216
20 25476 103 4215
19 25751 103 4215
20 26074 103 4217
19 26078 103 4215
19 26012 102 4215
20 25941 101 4215
19 25911 102 4215
20 26206 102 4217
19 26331 100 4217
20 26008 101 4215
20 25836 102 4215
20 25860 100 4216
19 25939 101 4216
20 25903 99 4216
19 25729 98 4214
19 25648 99 4217
20 25787 100 4216
19 25442 99 4215
20 26058 98 4215
19 25161 97 4216
21 26164 96 4215
19 26423 96 4214
20 26953 96 4215
19 26821 95 4215
20 24766 94 4215
19 23822 96 4217
20 25188 95 4216
19 24481 95 4216
19 26486 94 4216
20 26465 94 4215
19 22931 94 4214
21 23948 94 4214
19 25894 94 4216
20 26052 94 4216
19 26104 93 4214
20 25115 92 4217
19 27294 94 4217
20 26166 94 4215
19 27680 93 4216
19 27362 94 4215
20 27248 94 4215
19 26705 94 4217
21 26075 93 4214
19 25959 94 4216
20 25981 95 4214
19 25503 95 4216
20 25828 95 4217
19 25247 95 4216
20 25662 94 4216
19 26406 94 4215
20 25924 96 4214
19 26120 95 4214
20 25458 95 4218
20 26378 95 4215
19 24642 94 4214
20 24606 95 4215
19 21745 94 4216
20 22463 95 4214
19 23312 94 4214
20 23573 94 4214
19 27940 94 4215
20 27272 94 4215
19 26302 93 4214
20 26180 94 4214
20 28379 95 4215
19 27834 94 4215
20 27225 94 4218
19 26515 94 4213
20 26235 94 4215
19 26039 94 4216
20 25402 93 4215
19 25194 93 4213
20 24595 93 4216
19 23539 93 4216
21 25849 93 4214
19 26040 94 4216
19 26131 95 4216
20 26127 94 4215
19 25990 94 4214
20 25543 96 4215
19 26254 96 4217
20 26687 97 4215
19 26609 98 4216
20 25881 98 4217
20 25642 98 4215
20 25638 99 4217
19 25825 99 4215
19 26032 99 4215
20 26118 100 4215
19 25993 100 4214
20 25963 101 4216
19 25800 101 4214
20 25864 101 4214
19 25669 102 4215
20 25872 102 4217
20 25534 101 4214
20 25968 103 4216
19 26372 103 4215
20 26275 103 4217
19 26285 102 4217
19 25835 103 4215
20 26298 102 4214
19 25943 102 4214
20 25122 102 4214
19 24151 101 4215
20 25314 102 4216
20 26332 101 4215
20 26814 102 4215
19 27324 101 4217
20 26999 102 4216
19 26873 102 4215
19 26353 101 4216
20 26364 102 4215
19 26259 101 4216
20 26082 102 4215
19 25439 102 4216
21 25361 101 4213
19 25249 102 4216
20 25512 102 4213
19 26365 103 4216
20 26164 102 4215
19 26158 103 4215
20 25715 103 4215
19 26259 102 4214
19 26592 102 4215
20 26548 101 4215
19 26419 102 4216
21 26388 101 4215
19 26224 102 4217
20 25946 99 4215
19 25928 100 4215
