Delay= 19552
Source file: EDA_withMillis_noAccel_Final__1_.ino
Millis PPG EDA T_Skin
23 32767 31042 4507
21 32767 31042 4472
22 32767 31040 4532
22 32767 31039 4580
22 32767 31037 4593
21 32767 31037 4570
23 32767 31034 4516
21 32767 31033 4504
22 32767 31030 4524
22 32767 31027 4521
22 32767 31027 4488
21 32767 31025 4489
23 32767 31022 4508
21 32767 31022 4547
22 32767 31020 4578
22 32767 31020 4573
22 32767 31021 4517
21 32767 31020 4521
23 32767 31022 4541
21 32767 31021 4525
22 32767 31021 4524
22 32767 31021 4487
22 32767 31023 4503
21 32767 31022 4546
23 32767 31021 4598
21 32767 31021 4593
22 32767 31022 4551
22 32767 31021 4498
22 32767 31023 4521
21 32767 31023 4544
23 32767 31024 4522
21 32767 31023 4522
22 32767 31024 4504
22 32767 31026 4512
22 32767 31028 4600
21 32767 31031 4577
23 32767 31031 4554
21 32767 31033 4516
22 32767 31031 4503
22 32767 31033 4542
22 32767 31034 4523
21 32767 31033 4486
23 32767 31032 4486
22 32767 31031 4522
21 32767 31032 4583
23 32767 31032 4582
21 32767 31032 4573
22 32767 31031 4517
22 32767 31034 4502
22 32767 31033 4521
21 32767 31036 4526
23 32767 31036 4523
21 32767 31038 4488
22 32767 31040 4471
21 32767 31040 4545
23 32767 31041 4598
21 32767 31040 4574
22 32767 31040 4553
22 32767 31040 4499
22 32767 31040 4505
21 32767 31039 4525
23 32767 31039 4504
21 32767 31037 4486
22 32767 31037 4503
22 32767 31036 4528
22 32767 31038 4580
21 32767 31035 4579
23 32767 31036 4573
21 32767 31036 4514
22 32767 31036 4502
22 32767 31040 4524
22 32767 31042 4521
21 32767 31044 4503
23 32767 31046 4503
21 32767 31047 4488
22 32767 31049 4583
22 32767 31051 4596
22 32767 31052 4574
21 32767 31054 4518
23 32767 31055 4517
21 32767 31059 4527
22 32767 31062 4542
22 32767 31069 4506
22 32767 31076 4485
21 32767 31085 4486
23 32767 31092 4563
22 32767 31099 4599
21 32767 31104 4593
23 32767 31109 4554
21 32767 31114 4501
22 32767 31118 4504
22 32767 31119 4538
22 32767 31125 4504
21 32767 31127 4500
23 32767 31132 4468
21 32767 31136 4512
22 32767 31143 4583
22 32767 31147 4562
22 32767 31149 4557
21 32767 31152 4501
23 32767 31154 4504
21 32767 31156 4541
22 32767 31154 4505
22 32767 31157 4521
22 32767 31160 4506
21 32767 31164 4524
23 32767 31172 4565
21 32767 31178 4581
22 32767 31187 4572
22 32767 31190 4554
22 32767 31192 4501
21 32767 31193 4526
23 32767 31193 4525
21 32767 31191 4508
22 32767 31191 4488
22 32767 31188 4505
22 32767 31184 4564
21 32767 31182 4580
22 32767 31177 4592
22 32767 31173 4552
22 32767 31169 4515
21 32767 31166 4503
23 32767 31161 4525
21 32767 31157 4503
22 32767 31154 4507
22 32767 31150 4523
22 32767 31148 4512
21 32767 31145 4600
23 32767 31144 4598
22 32767 31142 4535
21 32767 31140 4536
23 32767 31139 4521
21 32767 31139 4521
22 32767 31140 4523
22 32767 31144 4503
22 32767 31149 4505
21 32767 31152 4505
23 32767 31154 4563
21 32767 31154 4578
22 32767 31155 4556
22 32767 31155 4553
22 32767 31155 4485
21 32767 31151 4507
23 32767 31152 4544
21 32767 31148 4504
22 32767 31146 4504
22 32767 31144 4486
22 32767 31144 4549
21 32767 31142 4598
23 32767 31142 4591
21 32767 31142 4553
22 32767 31144 4521
22 32767 31144 4505
22 32767 31146 4544
21 32767 31145 4520
23 32767 31146 4488
21 32767 31147 4469
22 32767 31150 4526
22 32767 31151 4617
22 32767 31154 4595
21 32767 31154 4572
23 32767 31154 4534
21 32767 31155 4503
22 32767 31155 4509
22 32767 31154 4540
22 32767 31154 4505
21 32767 31154 4486
23 32767 31155 4522
21 32767 31154 4563
22 32767 31154 4578
23 32767 31155 4590
21 32767 31155 4535
22 32767 31155 4502
22 32767 31156 4507
22 32767 31156 4525
21 32767 31155 4504
23 32767 31157 4488
21 32767 31158 4487
22 32767 31161 4548
22 32767 31160 4579
22 32767 31161 4575
21 32767 31159 4555
22 32767 31160 4537
22 32767 31159 4504
22 32767 31158 4522
21 32767 31159 4541
23 32767 31157 4521
21 32767 31157 4521
22 32767 31155 4508
22 32767 31153 4583
22 32767 31153 4577
21 32767 31151 4557
23 32767 31149 4520
21 32767 31148 4486
22 32767 31147 4522
22 32767 31148 4523
22 32767 31148 4503
21 32767 31147 4505
23 32767 31149 4504
21 32767 31150 4558
22 32767 31149 4580
22 32767 31151 4555
22 32767 31151 4536
21 32767 31150 4501
23 32767 31151 4506
21 32767 31150 4544
22 32767 31148 4525
22 32767 31147 4521
22 32767 31148 4504
21 32767 31147 4547
23 32767 31146 4583
