Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 25836 30481 4336
21 25704 30528 4375
23 25485 30583 4415
22 25357 30637 4416
21 25319 30679 4415
22 25388 30716 4405
22 25449 30739 4411
22 25467 30757 4409
21 25536 30768 4436
22 25581 30773 4445
22 25716 30787 4443
22 25904 30803 4424
21 26245 30825 4410
23 26594 30847 4425
21 26821 30862 4398
22 27000 30868 4427
21 27115 30868 4416
23 27095 30864 4412
21 26810 30860 4433
22 26464 30857 4435
22 26217 30862 4453
22 26195 30872 4425
21 26419 30885 4402
22 26588 30901 4426
22 26668 30921 4402
22 26653 30945 4417
21 26705 30973 4401
22 26616 30997 4416
22 26445 31022 4415
22 26503 31047 4435
21 26444 31072 4434
23 26421 31096 4427
21 26305 31119 4413
22 26173 31137 4427
21 26159 31155 4411
23 26269 31172 4391
21 26654 31186 4414
22 27152 31201 4427
22 27587 31215 4415
22 27869 31225 4395
21 27927 31237 4431
22 27815 31245 4474
22 27421 31252 4434
22 27045 31259 4425
21 26798 31263 4406
23 26667 31266 4419
21 26566 31273 4415
22 26547 31282 4391
21 26516 31285 4398
23 26565 31295 4398
22 26597 31297 4436
21 26652 31297 4442
22 26614 31293 4454
22 26523 31289 4433
22 26470 31281 4408
21 26455 31276 4391
23 26336 31276 4426
21 26165 31277 4392
22 26092 31274 4392
21 26028 31271 4395
23 26086 31270 4390
21 26204 31255 4419
22 26487 31228 4459
22 26732 31195 4445
22 26852 31158 4443
21 26856 31114 4431
22 26557 31069 4382
22 26291 31021 4415
22 25980 30978 4409
21 25860 30945 4395
23 25966 30921 4373
21 26030 30907 4398
22 26083 30905 4424
21 26096 30910 4473
23 26169 30926 4469
21 26267 30950 4432
22 26347 30979 4409
22 26396 31008 4418
22 26573 31041 4416
21 26802 31072 4394
22 26850 31097 4409
22 26856 31123 4397
22 26810 31144 4383
21 26639 31159 4449
22 26504 31175 4458
22 26545 31193 4434
22 26793 31208 4444
21 26916 31220 4394
23 26759 31238 4409
21 26501 31259 4426
22 26199 31276 4417
21 25862 31292 4402
23 25496 31306 4398
21 25314 31316 4422
22 25456 31328 4438
23 25644 31337 4454
21 25981 31343 4450
22 26291 31351 4442
21 26557 31354 4390
23 26815 31357 4372
21 26789 31354 4416
22 26705 31349 4416
21 26466 31350 4380
23 26151 31349 4380
21 25901 31354 4440
22 25675 31358 4474
22 25477 31362 4454
22 25358 31360 4426
21 25636 31361 4405
22 26289 31361 4405
22 27162 31359 4414
22 27802 31353 4434
21 28109 31339 4424
23 28082 31325 4398
21 27675 31308 4392
22 27046 31294 4401
21 26532 31285 4458
23 26159 31277 4452
21 26008 31273 4443
22 26012 31269 4407
22 26287 31262 4372
22 26684 31254 4416
21 27110 31247 4399
22 27335 31242 4419
22 27482 31240 4377
22 27656 31240 4367
