Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 26345 31643 4440
21 26390 31637 4526
23 26413 31632 4511
22 26401 31625 4510
22 26390 31620 4490
22 26397 31614 4490
21 26377 31614 4510
23 26301 31612 4531
21 26378 31610 4512
23 26391 31612 4528
21 26398 31609 4527
23 26374 31607 4510
21 26432 31607 4527
22 26385 31605 4510
22 26349 31607 4510
22 26375 31604 4475
22 26378 31606 4510
22 26445 31607 4509
21 26390 31605 4512
23 26351 31608 4529
21 26370 31605 4528
23 26432 31607 4526
21 26383 31607 4491
22 26314 31606 4510
22 26361 31604 4529
22 26426 31603 4529
22 26427 31604 4474
22 26353 31607 4492
21 26348 31604 4491
23 26446 31602 4549
21 26509 31604 4510
23 26482 31604 4508
21 26519 31605 4527
22 26463 31603 4474
22 26542 31607 4509
22 26545 31604 4512
22 26502 31602 4530
22 26480 31603 4510
21 26448 31605 4489
23 26411 31606 4511
22 26379 31603 4512
22 26391 31600 4512
22 26380 31603 4493
21 26360 31606 4527
23 26401 31606 4509
21 26375 31604 4527
23 26400 31602 4530
21 26411 31605 4511
22 26398 31604 4490
22 26427 31604 4490
22 26346 31604 4509
22 26422 31603 4531
22 26392 31602 4532
22 26357 31602 4510
22 26372 31604 4492
21 26369 31605 4508
23 26407 31606 4509
21 26430 31603 4512
23 26531 31605 4509
21 26623 31605 4510
22 26588 31606 4491
22 26562 31604 4509
22 26503 31605 4530
22 26467 31606 4511
22 26362 31604 4530
21 26420 31601 4509
23 26343 31603 4490
21 26379 31602 4529
23 26423 31603 4513
21 26411 31603 4494
22 26434 31607 4509
22 26405 31603 4490
22 26367 31601 4491
22 26361 31604 4511
22 26396 31604 4528
22 26380 31605 4491
22 26388 31604 4529
22 26348 31604 4474
22 26346 31603 4511
22 26390 31604 4528
21 26314 31604 4529
23 26389 31604 4510
21 26352 31602 4492
23 26389 31603 4510
21 26491 31605 4529
22 26490 31602 4529
22 26523 31602 4510
22 26539 31602 4527
22 26524 31603 4491
22 26525 31603 4492
22 26468 31602 4512
22 26453 31601 4528
21 26421 31604 4509
23 26419 31605 4491
21 26393 31603 4474
23 26422 31601 4513
21 26457 31604 4529
22 26414 31603 4544
22 26417 31603 4509
22 26417 31604 4491
22 26397 31604 4494
22 26361 31604 4494
21 26400 31605 4530
23 26373 31604 4475
21 26430 31604 4492
23 26337 31602 4490
21 26421 31604 4529
22 26420 31603 4530
22 26407 31604 4509
22 26437 31604 4528
23 26416 31604 4508
21 26472 31603 4511
22 26534 31604 4511
22 26574 31603 4511
22 26557 31600 4492
22 26509 31601 4492
22 26444 31603 4493
21 26424 31602 4529
23 26404 31603 4511
21 26387 31603 4528
23 26396 31605 4510
21 26433 31606 4508
22 26440 31604 4511
22 26460 31605 4494
22 26421 31601 4529
22 26468 31604 4511
22 26442 31603 4511
21 26409 31603 4511
23 26411 31602 4514
21 26453 31603 4532
23 26569 31603 4529
21 26525 31603 4491
23 26620 31599 4490
21 26527 31601 4492
22 26517 31599 4511
22 26558 31601 4531
22 26567 31601 4474
22 26566 31602 4491
22 26585 31601 4491
21 26572 31602 4495
23 26502 31605 4546
21 26448 31600 4545
23 26496 31601 4510
21 26488 31603 4527
22 26352 31603 4510
22 26302 31603 4510
22 26302 31602 4530
23 26314 31600 4475
21 26379 31603 4492
22 26345 31602 4491
22 26291 31601 4496
22 26314 31600 4530
22 26378 31598 4545
22 26384 31602 4529
21 26409 31603 4527
23 26484 31597 4493
21 26506 31601 4510
23 26514 31599 4545
21 26568 31601 4491
22 26568 31601 4509
22 26518 31601 4474
22 26531 31598 4494
22 26519 31602 4528
22 26548 31598 4546
21 26515 31597 4527
23 26521 31602 4508
21 26535 31601 4511
23 26489 31602 4491
21 26481 31601 4530
22 26327 31602 4492
22 26340 31601 4509
22 26343 31600 4511
22 26338 31604 4494
22 26251 31599 4548
22 26309 31603 4529
22 26397 31602 4528
21 26409 31601 4528
23 26376 31603 4493
21 26372 31601 4490
23 26413 31601 4547
21 26402 31603 4511
22 26416 31602 4491
22 26476 31602 4474
22 26460 31604 4493
23 26446 31601 4528
21 26466 31603 4510
22 26473 31603 4510
22 26511 31603 4508
22 26488 31604 4510
22 26430 31601 4529
22 26409 31602 4529
21 26316 31599 4493
23 26406 31601 4512
21 26436 31602 4510
23 26363 31601 4512
21 26394 31602 4546
22 26476 31600 4528
22 26428 31599 4528
22 26403 31598 4508
22 26390 31601 4510
22 26327 31599 4527
21 26375 31600 4511
23 26373 31601 4510
21 26393 31602 4491
23 26377 31602 4474
21 26410 31602 4512
22 26477 31602 4545
22 26572 31601 4546
22 26552 31602 4510
22 26444 31601 4491
22 26481 31600 4510
22 26513 31600 4528
22 26393 31600 4529
21 26369 31600 4507
23 26362 31598 4509
21 26395 31602 4509
23 26412 31599 4494
21 26414 31600 4529
22 26407 31600 4530
22 26426 31599 4528
22 26432 31600 4509
23 26454 31600 4509
21 26414 31596 4507
22 26378 31597 4528
22 26366 31601 4510
22 26404 31599 4492
22 26429 31602 4509
22 26438 31602 4476
21 26495 31601 4512
23 26515 31600 4511
21 26556 31602 4511
23 26528 31604 4526
21 26490 31601 4510
22 26481 31603 4508
22 26453 31602 4512
22 26443 31601 4510
