22 26714 8090
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
22 26281 8211 14594
22 26106 8204 14587
22 26012 8188 14580
21 25962 8184 14583
23 25940 8180 14578
21 25966 8173 14584
22 26126 8168 14587
22 26367 8167 14579
22 26623 8165 14589
21 26872 8159 14679
23 26982 8159 14712
22 26970 8156 14700
21 26871 8155 14715
23 26733 8148 14676
21 26570 8141 14686
22 26433 8136 14680
22 26278 8131 14700
22 26194 8131 14686
21 26146 8127 14704
23 26147 8125 14710
21 26179 8134 14670
22 26262 8131 14711
22 26344 8135 14690
22 26423 8140 14707
21 26465 8142 14556
23 26494 8140 14575
21 26448 8145 14569
22 26454 8149 14563
22 26410 8167 14590
22 26370 8190 14571
21 26297 8225 14569
23 26176 8265 14593
21 26071 8310 14589
22 26079 8355 14600
22 26231 8410 14591
22 26473 8467 14583
21 26780 8512 14584
23 26992 8553 14580
21 27136 8577 14711
22 27163 8602 14711
22 27025 8595 14704
22 26819 8593 14711
21 26606 8582 14701
22 26417 8553 14676
22 26267 8525 14715
22 26150 8489 14705
21 26096 8461 14703
23 26059 8424 14685
21 26147 8386 14680
22 26243 8353 14689
22 26319 8319 14667
22 26374 8282 14687
21 26519 8249 14721
23 26599 8224 14580
22 26706 8194 14582
21 26738 8171 14589
23 26720 8145 14578
21 26614 8124 14588
22 26505 8107 14574
22 26429 8093 14570
22 26427 8078 14584
21 26526 8071 14561
23 26756 8062 14590
21 27094 8039 14588
22 27393 8040 14592
22 27586 8034 14581
22 27633 8021 14574
21 27518 8017 14621
23 27274 8006 14692
21 27058 8008 14701
22 26788 8002 14703
22 26567 8002 14707
22 26377 8004 14691
21 26227 8013 14702
23 26097 8034 14711
21 26074 8063 14713
22 26056 8095 14711
22 26113 8137 14678
22 26177 8185 14687
21 26221 8245 14712
23 26273 8300 14683
21 26257 8369 14703
22 26248 8427 14570
22 26216 8489 14570
22 26192 8559 14567
21 26140 8613 14586
23 26151 8669 14575
21 26164 8729 14570
22 26183 8782 14556
