Time,EDA,PPG,Temp
120,,,
8,16400,26524,4006
30,16434,26514,4005
52,16470,26542,4004
74,16502,26537,4006
95,16532,26547,4005
118,16564,26539,4006
139,16594,26569,4004
161,16625,26706,4006
183,16652,26927,4004
205,16682,27217,4005
226,16709,27433,4006
249,16733,27525,4006
271,16757,27444,4007
292,16781,27222,4008
315,16802,26970,4006
336,16823,26727,4005
358,16842,26572,4005
380,16860,26479,4008
402,16880,26436,4006
423,16895,26446,4004
446,16912,26508,4006
467,16928,26601,4006
489,16941,26676,4003
511,16955,26749,4005
533,16966,26784,4005
554,16981,26781,4006
577,16991,26734,4004
598,17000,26673,4008
620,17010,26604,4006
641,17021,26540,4005
664,17027,26516,4007
685,17036,26497,4007
707,17042,26505,4006
729,17049,26522,4005
751,17058,26544,4005
772,17063,26570,4004
795,17067,26605,4004
816,17070,26636,4005
838,17074,26643,4005
860,17075,26661,4005
882,17076,26647,4005
903,17076,26633,4006
926,17076,26613,4005
947,17075,26611,4005
969,17077,26575,4004
991,17073,26587,4004
1013,17070,26590,4007
1034,17066,26567,4006
1057,17064,26588,4004
1078,17059,26572,4006
1100,17057,26561,4005
1122,17052,26586,4005
1144,17048,26643,4005
1165,17044,26792,4004
1188,17041,27054,4006
1210,17036,27321,4004
1231,17033,27473,4004
1254,17030,27491,4006
1275,17024,27382,4004
1297,17022,27133,4005
1319,17016,26937,4005
1341,16967,27246,4005
1362,16806,27849,4004
1385,16484,28463,4005
1406,16005,28873,4006
1428,15386,29038,4006
1450,14658,29024,4005
1472,13848,28858,4007
1493,12988,28653,4005
1516,12108,28448,4005
1537,11225,28283,4005
1559,10359,28122,4006
1581,9520,28018,4005
1602,8761,27961,4005
1622,8039,27884,4005
1644,7362,27860,4004
1664,6727,27865,4006
1685,6139,27862,4006
1705,5597,27848,4006
1727,5097,27861,4004
1747,4637,27823,4005
1768,4245,27484,4004
1789,4001,26973,4006
1810,3937,26550,4008
1830,4065,26295,4005
1852,4358,26183,4004
1872,4793,26197,4006
1893,5338,26287,4005
1914,5956,26409,4003
1935,6625,26512,4004
1955,7323,26597,4004
1977,8025,26654,4003
1997,8723,26656,4004
2017,9404,26655,4005
2038,10058,26641,4005
2060,10713,26628,4007
2082,11333,26634,4005
2103,11909,26600,4006
2126,12444,26603,4005
2148,12938,26635,4005
2169,13391,26781,4006
2192,13805,27020,4005
2213,14180,27259,4005
2235,14519,27451,4004
2257,14825,27490,4007
2279,15100,27374,4005
2300,15349,27151,4005
2323,15565,26878,4005
2344,15758,26688,4005
2366,15933,26544,4005
2388,16084,26455,4005
2410,16219,26439,4005
2431,16334,26490,4005
2454,16438,26584,4004
2475,16522,26704,4005
2497,16593,26797,4005
2519,16656,26846,4005
2541,16708,26871,4005
2562,16752,26827,4007
2585,16787,26739,4005
2606,16816,26662,4005
2628,16840,26607,4005
2650,16858,26557,4003
2672,16877,26543,4005
2693,16888,26536,4005
2716,16896,26545,4004
2737,16906,26552,4005
2759,16912,26586,4007
2781,16913,26607,4005
2803,16917,26625,4005
2824,16914,26638,4004
2847,16913,26638,4006
2868,16909,26670,4006
2890,16902,26675,4005
2912,16893,26672,4003
2934,16888,26668,4004
2955,16879,26654,4004
2978,16871,26632,4005
2999,16861,26631,4006
3021,16854,26633,4004
3044,16843,26641,4005
3065,16834,26619,4006
3087,16823,26626,4005
3109,16811,26642,4003
3131,16802,26782,4005
3152,16792,27010,4005
3175,16782,27247,4005
3196,16775,27466,4003
3218,16765,27581,4005
3240,16758,27515,4003
3262,16746,27442,4006
3283,16719,27287,4004
3306,16687,27036,4006
3327,16656,26788,4005
3349,16630,26608,4004
3370,16608,26521,4004
3393,16591,26490,4006
3414,16583,26518,4004
3436,16577,26565,4005
3458,16579,26659,4004
3480,16584,26738,4004
3501,16592,26793,4004
3524,16601,26793,4005
3545,16617,26759,4005
3567,16633,26687,4005
3589,16651,26607,4005
3611,16670,26534,4004
3632,16695,26493,4005
3655,16716,26468,4005
3676,16739,26482,4005
3698,16763,26508,4004
3720,16785,26522,4005
3742,16806,26551,4004
3763,16828,26591,4004
3786,16845,26605,4004
3807,16861,26618,4005
